state,area (sq. mi),abbreviation,state_abrv,ages,year,population,density
Alabama,52423,AL,AL,under18,2012,1117489.0,21.31676935696164
Alabama,52423,AL,AL,total,2012,4817528.0,91.89722068557694
Alabama,52423,AL,AL,under18,2010,1130966.0,21.57385117219541
Alabama,52423,AL,AL,total,2010,4785570.0,91.28760276977663
Alabama,52423,AL,AL,under18,2011,1125763.0,21.47460084314137
Alabama,52423,AL,AL,total,2011,4801627.0,91.59389962421075
Alabama,52423,AL,AL,total,2009,4757938.0,90.76050588482154
Alabama,52423,AL,AL,under18,2009,1134192.0,21.63538904679244
Alabama,52423,AL,AL,under18,2013,1111481.0,21.202163172653226
Alabama,52423,AL,AL,total,2013,4833722.0,92.2061308967438
Alabama,52423,AL,AL,total,2007,4672840.0,89.13721076626672
Alabama,52423,AL,AL,under18,2007,1132296.0,21.59922171565916
Alabama,52423,AL,AL,total,2008,4718206.0,90.00259428113614
Alabama,52423,AL,AL,under18,2008,1134927.0,21.649409610285563
Alabama,52423,AL,AL,total,2005,4569805.0,87.1717566716899
Alabama,52423,AL,AL,under18,2005,1117229.0,21.311809701848425
Alabama,52423,AL,AL,total,2006,4628981.0,88.30057417545734
Alabama,52423,AL,AL,under18,2006,1126798.0,21.494344085611278
Alabama,52423,AL,AL,total,2004,4530729.0,86.42635865936707
Alabama,52423,AL,AL,under18,2004,1113662.0,21.24376704881445
Alabama,52423,AL,AL,total,2003,4503491.0,85.90677755946817
Alabama,52423,AL,AL,under18,2003,1113083.0,21.232722278389257
Alabama,52423,AL,AL,total,2001,4467634.0,85.22278389256624
Alabama,52423,AL,AL,under18,2001,1120409.0,21.372470099002346
Alabama,52423,AL,AL,total,2002,4480089.0,85.46037044808577
Alabama,52423,AL,AL,under18,2002,1116590.0,21.299620395627873
Alabama,52423,AL,AL,under18,1999,1121287.0,21.389218472807737
Alabama,52423,AL,AL,total,1999,4430141.0,84.50758254964424
Alabama,52423,AL,AL,total,2000,4452173.0,84.92785609369933
Alabama,52423,AL,AL,under18,2000,1122273.0,21.40802701104477
Alabama,52423,AL,AL,total,1998,4404701.0,84.02229937241287
Alabama,52423,AL,AL,under18,1998,1118252.0,21.331324037159263
Alabama,52423,AL,AL,under18,1997,1122893.0,21.419853880930127
Alabama,52423,AL,AL,total,1997,4367935.0,83.32096598821128
Alabama,52423,AL,AL,total,1996,4331103.0,82.61837361463479
Alabama,52423,AL,AL,total,1995,4296800.0,81.96402342483262
Alabama,52423,AL,AL,under18,1995,1110553.0,21.18446101901837
Alabama,52423,AL,AL,under18,1996,1112092.0,21.213818362169278
Alabama,52423,AL,AL,total,1994,4260229.0,81.26640978196593
Alabama,52423,AL,AL,total,1993,4214202.0,80.38841729775099
Alabama,52423,AL,AL,under18,1993,1085606.0,20.708582110905517
Alabama,52423,AL,AL,under18,1994,1097180.0,20.929363065829882
Alabama,52423,AL,AL,under18,1992,1072873.0,20.465692539534174
Alabama,52423,AL,AL,total,1992,4154014.0,79.2402952902352
Alabama,52423,AL,AL,total,1991,4099156.0,78.1938462125403
Alabama,52423,AL,AL,under18,1991,1060794.0,20.23527840833222
Alabama,52423,AL,AL,under18,1990,1050041.0,20.030158518207656
Alabama,52423,AL,AL,total,1990,4050055.0,77.2572153444099
Alaska,656425,AK,AK,total,1990,553290.0,0.8428838024145942
Alaska,656425,AK,AK,under18,1990,177502.0,0.2704071295273641
Alaska,656425,AK,AK,total,1992,588736.0,0.8968823551814754
Alaska,656425,AK,AK,under18,1991,182180.0,0.2775336100849297
Alaska,656425,AK,AK,under18,1992,184878.0,0.2816437521422859
Alaska,656425,AK,AK,total,1994,603308.0,0.9190813878203907
Alaska,656425,AK,AK,under18,1994,187439.0,0.28554518794988004
Alaska,656425,AK,AK,total,1991,570193.0,0.8686338881060288
Alaska,656425,AK,AK,total,1993,599434.0,0.9131797235023041
Alaska,656425,AK,AK,under18,1993,187190.0,0.2851658605324294
Alaska,656425,AK,AK,total,1995,604412.0,0.9207632250447499
Alaska,656425,AK,AK,under18,1995,184990.0,0.2818143733099745
Alaska,656425,AK,AK,total,1996,608569.0,0.9270960124919069
Alaska,656425,AK,AK,under18,1996,185360.0,0.2823780325246601
Alaska,656425,AK,AK,under18,1997,188280.0,0.28682637011082757
Alaska,656425,AK,AK,under18,1998,192636.0,0.2934623148112884
Alaska,656425,AK,AK,total,1998,619933.0,0.9444079673991698
Alaska,656425,AK,AK,total,1997,612968.0,0.9337974635335339
Alaska,656425,AK,AK,under18,1999,191422.0,0.29161290322580646
Alaska,656425,AK,AK,total,1999,624779.0,0.9517903797082683
Alaska,656425,AK,AK,total,2000,627963.0,0.9566408957611303
Alaska,656425,AK,AK,under18,2000,190615.0,0.29038351677647867
Alaska,656425,AK,AK,total,2001,633714.0,0.9654019880412842
Alaska,656425,AK,AK,under18,2001,188771.0,0.2875743611227482
Alaska,656425,AK,AK,total,2002,642337.0,0.9785382945500247
Alaska,656425,AK,AK,under18,2002,188482.0,0.2871340975739803
Alaska,656425,AK,AK,total,2003,648414.0,0.9877960163004151
Alaska,656425,AK,AK,under18,2003,186843.0,0.2846372395932513
Alaska,656425,AK,AK,total,2004,659286.0,1.0043584567924744
Alaska,656425,AK,AK,under18,2004,186335.0,0.2838633507255208
Alaska,656425,AK,AK,total,2005,666946.0,1.0160277259397494
Alaska,656425,AK,AK,under18,2005,185304.0,0.2822927219408158
Alaska,656425,AK,AK,total,2006,675302.0,1.0287572837719465
Alaska,656425,AK,AK,under18,2006,185580.0,0.2827131812469056
Alaska,656425,AK,AK,total,2007,680300.0,1.036371253380051
Alaska,656425,AK,AK,under18,2007,184344.0,0.2808302547891991
Alaska,656425,AK,AK,total,2008,687455.0,1.0472712038694443
Alaska,656425,AK,AK,under18,2008,183124.0,0.2789717027840195
Alaska,656425,AK,AK,under18,2013,188132.0,0.28660090642495334
Alaska,656425,AK,AK,total,2013,735132.0,1.1199025021898923
Alaska,656425,AK,AK,total,2009,698895.0,1.0646989374262101
Alaska,656425,AK,AK,under18,2009,186351.0,0.2838877251780478
Alaska,656425,AK,AK,under18,2010,187902.0,0.2862505236698785
Alaska,656425,AK,AK,total,2010,713868.0,1.087508854781582
Alaska,656425,AK,AK,under18,2011,188329.0,0.28690101687169134
Alaska,656425,AK,AK,total,2011,723375.0,1.1019918497924364
Alaska,656425,AK,AK,under18,2012,188162.0,0.28664660852344137
Alaska,656425,AK,AK,total,2012,730307.0,1.1125520813497354
Arizona,114006,AZ,AZ,under18,2012,1617149.0,14.184770976966124
Arizona,114006,AZ,AZ,total,2012,6551149.0,57.46319491956564
Arizona,114006,AZ,AZ,under18,2011,1616353.0,14.177788888304125
Arizona,114006,AZ,AZ,total,2011,6468796.0,56.740838201498164
Arizona,114006,AZ,AZ,under18,2010,1628563.0,14.284888514639581
Arizona,114006,AZ,AZ,total,2010,6408790.0,56.214497482588634
Arizona,114006,AZ,AZ,under18,2013,1616814.0,14.18183253512973
Arizona,114006,AZ,AZ,total,2013,6626624.0,58.12522147957125
Arizona,114006,AZ,AZ,total,2009,6343154.0,55.63877339789134
Arizona,114006,AZ,AZ,under18,2009,1627343.0,14.274187323474203
Arizona,114006,AZ,AZ,total,2007,6167681.0,54.09961756398786
Arizona,114006,AZ,AZ,under18,2007,1607895.0,14.103599810536288
Arizona,114006,AZ,AZ,total,2008,6280362.0,55.08799536866481
Arizona,114006,AZ,AZ,under18,2008,1628651.0,14.285660403838394
Arizona,114006,AZ,AZ,total,2005,5839077.0,51.217278037998
Arizona,114006,AZ,AZ,under18,2005,1529168.0,13.413048436047225
Arizona,114006,AZ,AZ,total,2006,6029141.0,52.884418363945755
Arizona,114006,AZ,AZ,under18,2006,1574867.0,13.813895759872288
Arizona,114006,AZ,AZ,total,2004,5652404.0,49.57988176060909
Arizona,114006,AZ,AZ,under18,2004,1484454.0,13.02084100836798
Arizona,114006,AZ,AZ,total,2003,5510364.0,48.333982421977794
Arizona,114006,AZ,AZ,under18,2003,1453671.0,12.750828903741908
Arizona,114006,AZ,AZ,total,2001,5273477.0,46.256135641983754
Arizona,114006,AZ,AZ,under18,2001,1399015.0,12.271415539533008
Arizona,114006,AZ,AZ,total,2002,5396255.0,47.33307896075645
Arizona,114006,AZ,AZ,under18,2002,1427938.0,12.525112713365964
Arizona,114006,AZ,AZ,under18,1999,1332396.0,11.68706910162623
Arizona,114006,AZ,AZ,total,1999,5023823.0,44.0663035278845
Arizona,114006,AZ,AZ,total,2000,5160586.0,45.26591582899146
Arizona,114006,AZ,AZ,under18,2000,1373414.0,12.046857182955282
Arizona,114006,AZ,AZ,total,1998,4883342.0,42.834078908127644
Arizona,114006,AZ,AZ,under18,1998,1285794.0,11.278301142045155
Arizona,114006,AZ,AZ,total,1997,4736990.0,41.55035699875445
Arizona,114006,AZ,AZ,under18,1997,1237159.0,10.851700787677842
Arizona,114006,AZ,AZ,under18,1996,1215285.0,10.65983369296353
Arizona,114006,AZ,AZ,total,1996,4586940.0,40.23419820009473
Arizona,114006,AZ,AZ,total,1995,4432499.0,38.87952388470782
Arizona,114006,AZ,AZ,under18,1995,1173391.0,10.292361805519008
Arizona,114006,AZ,AZ,total,1993,4065440.0,35.65987755030437
Arizona,114006,AZ,AZ,under18,1993,1094233.0,9.59802992824939
Arizona,114006,AZ,AZ,under18,1994,1119857.0,9.822790028594985
Arizona,114006,AZ,AZ,total,1994,4245089.0,37.23566303527885
Arizona,114006,AZ,AZ,under18,1992,1055572.0,9.25891619739312
Arizona,114006,AZ,AZ,under18,1991,1028285.0,9.01956914548357
Arizona,114006,AZ,AZ,total,1991,3788576.0,33.23137378734452
Arizona,114006,AZ,AZ,total,1992,3915740.0,34.34678876550357
Arizona,114006,AZ,AZ,under18,1990,1006040.0,8.824447836078804
Arizona,114006,AZ,AZ,total,1990,3684097.0,32.31493956458432
Arkansas,53182,AR,AR,under18,1990,620933.0,11.675623331202287
Arkansas,53182,AR,AR,total,1990,2356586.0,44.3117220112068
Arkansas,53182,AR,AR,total,1991,2383144.0,44.81110150050769
Arkansas,53182,AR,AR,under18,1991,626212.0,11.774886239705163
Arkansas,53182,AR,AR,under18,1992,638269.0,12.001598285134069
Arkansas,53182,AR,AR,total,1992,2415984.0,45.42860366289346
Arkansas,53182,AR,AR,under18,1994,653842.0,12.29442292504983
Arkansas,53182,AR,AR,total,1994,2494019.0,46.8959234327404
Arkansas,53182,AR,AR,total,1993,2456303.0,46.18673611372269
Arkansas,53182,AR,AR,under18,1993,643474.0,12.09946974540258
Arkansas,53182,AR,AR,under18,1995,667671.0,12.55445451468542
Arkansas,53182,AR,AR,total,1995,2535399.0,47.6740062427137
